y,treatment,W1,W2,instruments
28,7.57E-10,17.38562646,1.692,40.63041563
24,7.82E-10,16.23434331,1.692,229.5532577
34,7.34E-10,16.7569107,1.692,193.7800379
32,7.93E-10,16.36614346,1.692,212.3344771
28,7.38E-10,16.46570162,1.692,318.4799919
44,6.90E-10,16.82090423,1.692,228.2389925
33,7.08E-10,16.07367732,1.692,248.4156426
40,6.76E-10,16.56023598,1.692,179.4690319
36,7.08E-10,16.72494352,1.692,167.1866208
32,7.04E-10,16.66088731,1.692,100.6247563
34,7.29E-10,16.12406731,1.692,274.5803576
46,7.02E-10,16.51550728,1.692,60.12367264
36,6.29E-10,17.05857502,1.692,25.23920114
23,6.38E-10,16.85626767,1.692,52.14829703
33,6.29E-10,16.05316017,1.692,7.086190542
36,6.83E-10,16.83194631,1.692,101.2632106
29,8.04E-10,16.03379208,1.692,89.69244547
32,8.74E-10,16.72407981,1.692,59.36172316
30,8.16E-10,16.70857749,1.692,72.67964067
23,8.00E-10,16.7139116,1.692,177.4059257
24,7.72E-10,17.73046548,1.692,137.6325741
34,1.01E-09,17.23480961,1.692,134.7918524
37,1.31E-09,17.45615996,1.692,68.90297124
43,1.32E-09,18.09896155,1.692,115.8902745
40,1.22E-09,16.68591408,1.692,245.654263
34,1.22E-09,16.99327486,1.692,87.61855544
36,1.23E-09,16.97812034,1.692,232.7661524
30,1.07E-09,17.13120029,1.692,137.6019166
36,9.43E-10,17.26411142,1.692,253.8894387
37,8.01E-10,17.25990024,1.692,123.2563095
45,7.72E-10,17.80191383,1.692,104.8996708
34,7.99E-10,17.99345034,1.692,101.6083125
32,7.20E-10,17.93481295,1.692,91.2484335
27,6.22E-10,17.73257722,1.692,126.724701
34,6.63E-10,17.00078863,1.692,172.5448132
38,7.01E-10,17.99936515,1.692,54.42854508
26,6.80E-10,17.30890297,1.692,79.79943011
27,6.31E-10,17.9600452,1.692,43.27318057
49,5.51E-10,17.66291496,1.692,23.83321373
38,5.27E-10,17.91703824,1.692,16.6337914
46,5.97E-10,17.38344832,1.692,170.4380625
34,6.62E-10,17.37002198,1.692,97.94484913
38,6.47E-10,17.16152534,1.692,125.389469
42,6.57E-10,17.88565251,1.692,31.83121487
30,7.36E-10,18.48692817,1.692,94.83460572
27,7.51E-10,17.50525011,1.692,70.98093373
21,7.61E-10,17.99390594,1.692,95.92825307
23,7.36E-10,17.47599469,1.692,84.16131599
14,7.24E-10,17.95450025,1.692,40.43827723
21,7.28E-10,17.80826801,1.692,155.5379599
6,7.63E-10,17.75013803,1.692,138.3518444
9,8.08E-10,18.1004998,1.692,61.66667314
8,7.41E-10,17.48791791,1.692,100.7150104
19,7.64E-10,18.16004023,1.692,121.5308475
18,7.94E-10,17.02720512,1.692,245.937427
29,8.93E-10,17.24379336,1.692,113.3051601
15,9.66E-10,16.72240029,1.692,152.5641657
11,8.08E-10,16.55021805,1.692,177.7864315
13,7.08E-10,17.20277903,1.692,65.77641087
16,7.54E-10,16.7604042,1.692,229.2467518
14,7.97E-10,16.85207959,1.692,206.8795647
25,8.16E-10,17.57833851,1.692,48.20358978
29,8.27E-10,17.36205535,1.692,70.14766455
28,8.46E-10,17.11080009,1.692,101.1516726
19,7.41E-10,17.70090946,1.692,6.168694172
25,6.71E-10,18.22204709,1.692,35.1531703
27,7.40E-10,17.34745351,1.692,186.1095355
33,8.66E-10,18.04130591,1.692,86.81333585
33,9.77E-10,18.31404727,1.692,19.88138614
33,1.05E-09,18.53226926,1.692,13.24431316
26,1.19E-09,18.5797796,1.692,83.242363
30,1.05E-09,18.84989975,1.692,46.21395749
18,9.59E-10,19.61397884,1.692,136.9795284
30,1.11E-09,18.84366816,1.692,123.7826719
21,1.27E-09,19.29604373,1.692,66.24523811
15,1.71E-09,18.45125815,1.692,103.2776292
30,2.51E-09,18.45399028,1.692,89.6445469
22,2.49E-09,19.64959282,1.692,136.1411027
29,1.90E-09,18.6213597,1.692,216.3646311
21,1.55E-09,18.53460747,1.692,111.8390428
19,1.17E-09,18.05490552,1.692,321.421742
24,9.75E-10,18.73169523,1.692,151.9606637
23,8.30E-10,17.77564878,1.692,204.4471134
20,7.66E-10,17.59039507,1.692,238.4933943
14,7.01E-10,17.48778022,1.692,126.0727266
16,6.19E-10,18.61730659,1.692,33.82538563
20,6.17E-10,18.29293111,1.692,121.3750746
15,6.53E-10,17.43837684,1.692,121.9062912
10,7.06E-10,17.27028608,1.692,115.595981
10,6.61E-10,17.18525205,1.692,40.75648704
40,5.94E-10,16.79700295,1.692,50.57820415
19,5.91E-10,17.60647568,1.692,40.26136432
21,5.73E-10,17.40193114,1.692,43.59340962
9,6.04E-10,16.92595311,1.692,58.74528148
19,6.54E-10,17.15496459,1.692,48.92607954
19,6.84E-10,17.03274325,1.692,56.61073922
23,7.04E-10,17.52013575,1.692,38.52575749
24,7.08E-10,17.59439413,1.692,43.16466702
22,6.99E-10,17.56936008,1.692,30.00088827
20,7.27E-10,17.26709757,1.692,91.76750459
16,7.17E-10,16.90531748,1.692,71.04860419
35,6.89E-10,17.31953067,1.692,136.3583455
27,6.87E-10,17.12283242,1.692,108.3491336
33,7.46E-10,17.11161658,1.692,43.56773353
31,7.34E-10,17.00127809,1.692,87.98943472
20,6.25E-10,16.55220009,1.692,172.9600175
15,7.03E-10,16.78943516,1.692,189.5283388
21,8.14E-10,17.12800561,1.692,186.0965914
26,7.51E-10,16.45626274,1.692,247.0912327
17,6.83E-10,16.81236948,1.692,210.6640348
22,7.59E-10,16.87659014,1.692,142.714909
19,7.41E-10,16.67715813,1.692,150.3103062
18,6.94E-10,16.68163962,1.692,142.9146134
23,7.12E-10,16.64944765,1.692,340.4199848
17,7.12E-10,16.40734026,1.692,174.6866248
11,6.93E-10,17.14551547,1.692,77.32678522
11,6.12E-10,16.37107686,1.692,107.8108108
26,6.35E-10,16.9148632,1.692,177.5558333
18,7.08E-10,17.03507368,1.692,108.5849149
15,6.29E-10,16.40053143,1.692,132.1434873
22,6.22E-10,16.46789256,1.692,97.92246484
19,7.15E-10,16.47555056,1.692,56.28035779
21,7.04E-10,17.08432822,1.692,131.9676843
10,7.02E-10,17.64034813,1.692,43.29642947
8,7.81E-10,16.81566645,1.692,22.53157937
15,8.99E-10,16.9353061,1.692,89.90374649
17,9.54E-10,16.54937191,1.692,105.9036624
15,9.03E-10,16.70497607,1.692,112.1992927
13,8.97E-10,16.73029054,1.692,117.5636009
27,1.09E-09,16.75992388,1.692,167.6019526
23,1.01E-09,17.15074828,1.692,194.6064082
29,9.00E-10,17.94492061,1.692,94.23415391
21,8.73E-10,17.21731936,1.692,250.4808279
25,7.27E-10,17.05812003,1.692,200.4982482
20,7.92E-10,17.66856136,1.692,170.268674
24,7.72E-10,17.11153411,1.692,257.5882233
16,7.11E-10,16.93967806,1.692,145.9009039
19,7.14E-10,17.51912121,1.692,264.8413449
25,6.52E-10,18.02460175,1.692,91.79804856
27,6.10E-10,17.48471323,1.692,74.05338685
23,6.36E-10,17.58889533,1.692,79.73753844
19,6.23E-10,16.96706135,1.692,107.556244
18,6.44E-10,16.70206813,1.692,82.73603931
29,6.26E-10,16.95451697,1.692,106.0495136
19,6.02E-10,17.09882078,1.692,41.94586699
16,7.33E-10,17.27536497,1.692,132.1646753
37,6.87E-10,17.01945008,1.692,58.78248813
38,6.35E-10,17.64921117,1.692,46.79704961
20,7.56E-10,16.96393494,1.692,76.11890334
19,8.43E-10,17.41441604,1.692,72.69996124
15,7.84E-10,17.49366681,1.692,96.27373897
19,6.70E-10,16.82448412,1.692,46.47177124
31,6.70E-10,17.20502358,1.692,83.65239267
16,7.33E-10,17.0448238,1.692,101.5131289
24,8.01E-10,17.34794681,1.692,132.6939931
29,8.75E-10,17.25537861,1.692,224.0598293
38,8.23E-10,16.85126216,1.692,208.8239568
32,6.83E-10,16.28740379,1.692,148.5999614
43,6.29E-10,17.3102724,1.692,173.0245398
50,6.42E-10,18.13916604,1.692,73.30089245
39,6.96E-10,16.49666362,1.692,197.0221913
35,6.74E-10,16.49115767,1.692,99.76976405
30,6.24E-10,16.5959204,1.692,349.3150029
35,6.08E-10,16.03180246,1.692,194.8881622
21,6.62E-10,16.57165469,1.692,219.1828455
33,7.40E-10,16.75615405,1.692,294.6421072
19,7.35E-10,17.35907265,1.692,155.60295
24,6.24E-10,16.86661167,1.692,163.212079
26,5.66E-10,16.57017626,1.692,8.49
25,6.12E-10,15.78865699,1.692,216.6274562
33,6.52E-10,16.42492254,1.692,158.7427272
23,6.87E-10,15.85792717,1.692,174.947924
24,7.06E-10,16.10399799,1.692,107.9255808
26,7.07E-10,16.5032265,1.692,27.33118863
19,6.91E-10,17.30763019,1.692,136.1773521
12,7.35E-10,17.57388253,1.692,138.1073947
18,8.59E-10,16.88403185,1.692,125.6794828
26,1.09E-09,16.12012559,1.692,84.48423957
32,1.26E-09,16.68157349,1.692,55.80655997
48,1.26E-09,17.49193279,1.692,39.48818953
44,1.21E-09,17.85859779,1.692,104.1264741
42,1.40E-09,16.99763645,1.692,191.3254672
36,1.42E-09,17.48212967,1.692,209.2715533
36,1.01E-09,16.39646281,1.692,270.734721
59,8.45E-10,16.24471579,1.692,181.2537354
43,7.89E-10,16.8772728,1.692,72.70093233
33,7.02E-10,16.89938207,1.692,103.1874128
30,6.92E-10,16.80265505,1.692,166.75501
38,6.59E-10,16.65311803,1.692,234.4747603
42,6.64E-10,17.07703407,1.692,224.977588
32,6.75E-10,17.04963477,1.692,129.8775212
32,6.55E-10,17.16572954,1.692,104.3267385
24,6.25E-10,17.9106126,1.692,36.95759297
17,5.98E-10,17.2110306,1.692,83.30972884
16,5.81E-10,16.87378735,1.692,55.10523408
30,5.34E-10,16.80310692,1.692,63.2984763
15,5.65E-10,16.89656399,1.692,77.16033712
19,6.29E-10,17.27209057,1.692,38.20317787
19,7.71E-10,17.31070774,1.692,26.13749239
16,7.70E-10,17.18811643,1.692,41.37508224
20,6.43E-10,16.79590088,1.692,65.33365855
10,6.78E-10,16.99987361,1.692,22.59336355
14,7.43E-10,16.80163104,1.692,73.83242415
10,7.33E-10,17.27987402,1.692,29.82674951
14,6.94E-10,17.17164169,1.692,47.81977362
11,7.35E-10,16.8963657,1.692,154.8538488
23,8.07E-10,16.67151461,1.692,118.38739
17,7.94E-10,17.50062922,1.692,77.35253796
25,7.51E-10,17.01515093,1.692,102.3846291
26,7.59E-10,16.74781047,1.692,287.0434854
33,7.00E-10,16.19474901,1.692,183.7059378
20,6.60E-10,16.48353551,1.692,234.1672718
27,6.60E-10,16.78354869,1.692,381.3394349
35,7.10E-10,16.63668525,1.692,192.2693247
28,7.13E-10,16.26236117,1.692,294.1635514
29,7.30E-10,16.75946962,1.692,259.1550495
30,7.16E-10,16.94426516,1.692,249.4744082
41,6.29E-10,16.91696108,1.692,210.5747994
37,6.54E-10,16.30455317,1.692,149.0963534
62,6.60E-10,16.66932602,1.692,76.66597112
36,6.69E-10,16.7913471,1.692,23.18972975
52,6.39E-10,16.65069097,1.692,6.19
65,5.98E-10,17.03393729,1.692,7.79
48,6.68E-10,16.4266297,1.692,93.96891101
57,7.34E-10,16.42585315,1.692,35.59905693
67,7.64E-10,18.10972095,1.692,22.87555694
48,8.18E-10,17.57530315,1.692,77.76451245
65,1.06E-09,17.54894298,1.692,66.3746498
52,1.35E-09,17.65550114,1.692,89.01353616
39,1.28E-09,17.61779235,1.692,221.7014794
53,1.40E-09,17.22350346,1.692,208.6710213
53,1.69E-09,17.99016395,1.692,313.076726
62,1.78E-09,18.08722621,1.692,208.0888402
54,1.84E-09,17.27412498,1.692,259.3047489
54,2.00E-09,17.26639937,1.692,170.3088993
50,1.67E-09,17.18265844,1.692,170.1972368
43,1.40E-09,17.36423171,1.692,176.0832838
60,1.35E-09,17.70936569,1.692,341.0725369
65,8.92E-10,17.35964394,1.692,217.0684354
45,8.13E-10,18.06657573,1.692,29.20842052
52,8.20E-10,18.00299441,1.692,195.7548541
46,7.02E-10,17.71425427,1.692,121.729246
62,6.48E-10,17.40103671,1.692,221.9202921
57,6.74E-10,17.1818675,1.692,241.8706849
53,6.53E-10,17.31754033,1.692,126.5637816
58,6.29E-10,17.48238624,1.692,88.95475758
63,5.83E-10,17.29124655,1.692,21.71195178
51,5.39E-10,17.50888985,1.692,28.64030932
35,5.35E-10,17.447327,1.692,56.61426465
44,5.64E-10,17.18085376,1.692,61.20850779
43,5.94E-10,17.20441868,1.692,54.10897541
60,6.14E-10,17.12311074,1.692,49.70974013
45,7.23E-10,17.61082628,1.692,50.736974
60,9.58E-10,17.71121202,1.692,32.78214068
60,1.20E-09,17.65998123,1.692,83.55313732
53,1.15E-09,17.68102203,1.692,33.96414051
51,9.19E-10,17.84395411,1.692,16.5594339
54,8.03E-10,17.98653622,1.692,63.43619913
64,8.26E-10,18.3893407,1.692,27.7477442
